FISCAL_YR,FISCAL_QTR,FISCAL_MO,Segment,circ_score
2019,2,4,Existing,3013636
2019,2,4,NTB,3449356
2019,2,4,React,1178197
2019,2,5,Existing,2952245
2019,2,5,NTB,2866592
2019,2,5,React,924449.4
2019,2,6,Existing,2350242
2019,2,6,NTB,442333
2019,2,6,React,292643.5
2019,3,7,Existing,2706736
2019,3,7,NTB,483068.5
2019,3,7,React,443102.6
2019,3,8,Existing,3074204
2019,3,8,NTB,1720962
2019,3,8,React,1075276
2019,3,9,Existing,2946507
2019,3,9,NTB,2234978
2019,3,9,React,1162974
2019,4,10,Existing,3118520
2019,4,10,NTB,2790231
2019,4,10,React,1230301
2019,4,11,Existing,4407558
2019,4,11,NTB,2556271
2019,4,11,React,1322268
2019,4,12,Existing,3376250
2019,4,12,NTB,439169
2019,4,12,React,401933.1
